"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_12891","Sales - Products","19.8","[LTKSS006P2] LifeTrak ComfortFit Band - BLACK/TANGERINE","","BN117","INV/2014/0144","VISA","LifeTrak ComfortFit Band - BLACK/TANGERINE","1.0","10","SO086","SR","19.8","Unit(s)",""
"__export__.account_invoice_line_12892","Sales - Products","46.73","[Withings Pulse O2] Withings Pulse O2","","BN117","INV/2014/0144","VISA","Withings Pulse O2","1.0","10","SO086","SR C","50.0","Unit(s)",""
"__export__.account_invoice_line_12893","Sales - Products","411.21","[1RH0.001.03] TomTom Multi-Sport Cardio - White/Red","","BN117","INV/2014/0144","VISA","TomTom Multi-Sport Cardio - White/Red","1.0","10","SO086","SR C","440.0","Unit(s)",""
"__export__.account_invoice_line_12894","Sales - Products","19.73","[F SNK Dry Top] Snorkel Dry Top","","BN117","INV/2014/0144","VISA","Snorkel Dry Top","1.0","10","SO086","SR C","21.11","Unit(s)",""
"__export__.account_invoice_line_12895","Sales - Products","214.02","[Withings Pulse O2] Withings Pulse O2","","SO088","INV/2014/0145","CASH SALE","Withings Pulse O2","1.0","10","SO088","SR C","229.0","Unit(s)",""
"__export__.account_invoice_line_12896","Sales - Products","205.56","[iHealth BP monitor] iHealth BP monitor","","SO088","INV/2014/0145","CASH SALE","iHealth BP5 Wireless Blood Pressure Monitor","1.0","10","SO088","SR C","219.95","Unit(s)",""
"__export__.account_invoice_line_12897","Sales - Products","37.29","[SP Elite Pullkick] SP Elite PullKick","","SO088","INV/2014/0145","CASH SALE","SP Elite PullKick","1.0","10","SO088","SR C","39.9","Unit(s)",""
"__export__.account_invoice_line_12898","Sales - Products","117.1","[LTK7R45005] LifeTrak R450 Midnight Black/Titanium","","","SCNJ/2014/0003","Challenger Technologies Limited","LifeTrak R450 Midnight Black/Titanium","1.0","","","SR C","125.3","Unit(s)",""
"__export__.account_invoice_line_12899","Cost of Expenses - Products","","[LTK7R45005] LifeTrak R450 Midnight Black/Titanium - 1 of the button does not work. returned by Challenger - Vivocity","","","","Salutron, Inc","LifeTrak R450 Midnight Black/Titanium","1.0","","","","","Unit(s)",""
"__export__.account_invoice_line_12900","Purchases - JMD","378.0","54 pcs linear leather card holder for GPJ","","","EXJ/2014/0092","Sagana International Pte Ltd","Corporate Gifts #1","1.0","","","TX","378.0","Unit(s)",""
